"","Date","MinTemp","MaxTemp","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"49232",2007-11-01,8,24.3,3.4,6.3,"NW",30,"SW","NW",6,20,68,29,1019.7,1015,7,7,14.4,23.6,"No","Yes"
"49233",2007-11-02,14,26.9,4.4,9.7,"ENE",39,"E","W",4,17,80,36,1012.4,1008.4,5,3,17.5,25.7,"Yes","Yes"
"49234",2007-11-03,13.7,23.4,5.8,3.3,"NW",85,"N","NNE",6,6,82,69,1009.5,1007.2,8,7,15.4,20.2,"Yes","Yes"
"49235",2007-11-04,13.3,15.5,7.2,9.1,"NW",54,"WNW","W",30,24,62,56,1005.5,1007,2,7,13.5,14.1,"Yes","Yes"
"49236",2007-11-05,7.6,16.1,5.6,10.6,"SSE",50,"SSE","ESE",20,28,68,49,1018.3,1018.5,7,7,11.1,15.4,"Yes","No"
"49237",2007-11-06,6.2,16.9,5.8,8.2,"SE",44,"SE","E",20,24,70,57,1023.8,1021.7,7,5,10.9,14.8,"No","No"
"49238",2007-11-07,6.1,18.2,4.2,8.4,"SE",43,"SE","ESE",19,26,63,47,1024.6,1022.2,4,6,12.4,17.3,"No","No"
"49239",2007-11-08,8.3,17,5.6,4.6,"E",41,"SE","E",11,24,65,57,1026.2,1024.2,6,7,12.1,15.5,"No","No"
"49240",2007-11-09,8.8,19.5,4,4.1,"S",48,"E","ENE",19,17,70,48,1026.1,1022.7,7,7,14.1,18.9,"No","Yes"
"49241",2007-11-10,8.4,22.8,5.4,7.7,"E",31,"S","ESE",7,6,82,32,1024.1,1020.7,7,1,13.3,21.7,"Yes","No"
"49242",2007-11-11,9.1,25.2,4.2,11.9,"N",30,"SE","NW",6,9,74,34,1024.4,1021.1,1,2,14.6,24,"No","No"
"49243",2007-11-12,8.5,27.3,7.2,12.5,"E",41,"E","NW",2,15,54,35,1023.8,1019.9,0,3,16.8,26,"No","No"
"49244",2007-11-13,10.1,27.9,7.2,13,"WNW",30,"S","NW",6,7,62,29,1022,1017.1,0,1,17,27.1,"No","No"
"49245",2007-11-14,12.1,30.9,6.2,12.4,"NW",44,"WNW","W",7,20,67,20,1017.3,1013.1,1,4,19.7,30.7,"No","No"
"49246",2007-11-15,10.1,31.2,8.8,13.1,"NW",41,"S","W",6,20,45,16,1018.2,1013.7,0,1,18.7,30.4,"No","No"
"49247",2007-11-16,12.4,32.1,8.4,11.1,"E",46,"SE","WSW",7,9,70,22,1017.9,1012.8,0,3,19.1,30.7,"No","No"
"49248",2007-11-17,13.8,31.2,7.2,8.4,"ESE",44,"WSW","W",6,19,72,23,1014.4,1009.8,7,6,20.2,29.8,"No","Yes"
"49249",2007-11-18,11.7,30,7.2,10.1,"S",52,"SW","NE",6,11,59,26,1016.4,1013,1,5,20.1,28.6,"Yes","No"
"49250",2007-11-19,12.4,32.3,7.4,13,"E",39,"NNE","W",4,17,60,25,1017.1,1013.3,1,3,20.2,31.2,"No","No"
"49251",2007-11-20,15.6,33.4,8,10.4,"NE",33,"NNW","NNW",2,13,61,27,1018.5,1013.7,0,1,22.8,32,"No","No"
"49252",2007-11-21,15.3,33.4,8.8,9.5,"WNW",59,"N","NW",2,31,60,26,1012.4,1006.5,1,5,22.2,32.8,"No","No"
"49253",2007-11-22,16.4,19.4,9.2,0,"E",26,"ENE","E",6,11,88,72,1010.7,1008.9,8,8,16.5,18.3,"No","Yes"
"49254",2007-11-23,12.8,18.5,2.8,0.6,"ESE",28,"S","SE",13,13,91,79,1014,1014.9,8,8,14,16.8,"Yes","No"
"49255",2007-11-24,12,24.3,1.2,7.5,"NNE",26,"WSW","NE",6,9,74,57,1020.7,1019.2,7,5,17.8,22.8,"No","No"
"49256",2007-11-25,15.4,28.4,4.4,8.1,"ENE",33,"SSE","NE",9,15,85,31,1022.4,1018.6,8,2,16.8,27.3,"No","No"
"49257",2007-11-26,15.6,26.9,6.8,8.9,"E",41,"E","E",6,22,65,48,1019.7,1016.5,2,4,19.8,25.1,"No","No"
"49258",2007-11-27,13.3,22.2,6.6,2.3,"ENE",39,"E","E",20,17,70,55,1021,1018.6,7,7,16.5,21.2,"No","No"
"49259",2007-11-28,12.9,28,4.4,10.7,"S",52,"S","NNE",6,11,61,31,1019.2,1014.8,5,7,18.8,26.7,"No","No"
"49260",2007-11-29,15.1,24.3,7,0.4,"SE",39,"SE","SE",7,17,69,80,1019,1017.1,7,7,18.9,19.7,"No","No"
"49261",2007-11-30,13.6,24.1,2.6,0.5,"NNW",30,"SSW","S",6,6,83,49,1017.2,1013.3,8,7,17.3,23.2,"No","Yes"
"49262",2007-12-01,15.1,20.4,2.4,0.2,"SSE",41,"E","S",6,20,82,90,1015,1014.1,8,8,17,16.3,"Yes","Yes"
"49263",2007-12-02,11.6,26.3,1.6,12,"NNE",41,"E","SW",6,9,66,46,1013.9,1009.5,2,2,16.7,25.2,"Yes","No"
"49264",2007-12-03,16.6,24.2,6.6,4.7,"NW",50,"WNW","NW",13,35,72,60,1007.9,1004.6,7,7,20.5,19.9,"No","Yes"
"49265",2007-12-04,13.3,26.5,3.8,11.8,"NW",50,"NW","WNW",20,26,74,40,1007.3,1006.3,5,2,18.8,25.1,"Yes","No"
"49266",2007-12-05,14.5,21.8,8.4,9.8,"ENE",43,"ESE","E",11,30,69,63,1015,1015.3,7,1,18.6,20.5,"No","No"
"49267",2007-12-06,16.3,26.8,6,6.3,"ENE",39,"ESE","ESE",13,9,78,54,1018.8,1016.1,8,7,18.6,24.5,"No","No"
"49268",2007-12-07,17.2,25.8,4.2,8.8,"SW",41,"NW","N",6,6,70,74,1014.5,1011.5,6,7,21.5,22.6,"No","Yes"
"49269",2007-12-08,16.5,28.2,4.2,8.8,"NE",39,"E","N",7,13,76,42,1014.8,1011.4,8,1,18,26.3,"Yes","No"
"49270",2007-12-09,15,29.4,6.6,11.1,"NW",43,"N","W",9,24,78,24,1010.8,1008.5,7,7,20.6,28.6,"No","No"
"49271",2007-12-10,14.9,24.8,10.4,10,"NNW",35,"NNE","WNW",11,6,58,37,1011.7,1010.4,7,7,19.3,22.9,"No","No"
"49272",2007-12-11,11.8,18.5,4.8,2.3,"ENE",35,"ESE","E",9,15,60,63,1018,1017.4,8,6,13.8,16.4,"No","No"
"49273",2007-12-12,11.7,21.5,4.2,7.3,"ENE",41,"ESE","E",15,24,66,51,1021.1,1019.6,7,5,15.7,19.4,"No","No"
"49274",2007-12-13,9.6,20.3,5,3.6,"SE",39,"ESE","E",22,20,70,49,1021.9,1019.3,7,7,15.8,19.2,"No","No"
"49275",2007-12-14,8.9,27.1,4.4,12.7,"E",35,"NNW","N",6,11,63,37,1018.1,1012.5,1,2,15.8,25,"No","No"
"49276",2007-12-15,10.1,29.9,6.8,8.8,"E",41,"SE","WNW",2,13,63,36,1012.6,1010.2,1,8,17.4,29.1,"No","Yes"
"49277",2007-12-16,15.5,21.1,6.4,0.9,"S",31,"SSE","NE",6,7,93,86,1010.1,1008.6,8,8,16.6,20,"Yes","Yes"
"49278",2007-12-17,10.8,21.7,2.8,10.6,"ESE",48,"SSE","ESE",13,20,59,40,1017.6,1016.8,1,4,15.3,20.8,"Yes","No"
"49279",2007-12-18,7.5,20.9,6.6,8.7,"ENE",39,"SE","E",13,20,61,43,1020.6,1018.3,6,7,15.3,19.8,"No","No"
