"","Date","MinTemp","MaxTemp","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"150264",2008-07-01,20,33.1,4.4,11,"E",41,"ENE","SSE",13,17,81,32,1016,1012.1,1,2,25.4,32.3,"No","No"
"150265",2008-07-02,19.4,32.4,6,10.4,"ENE",50,"SE","E",15,28,81,17,1016.8,1012.4,1,1,24.3,31.9,"No","No"
"150266",2008-07-03,18.2,31.8,8,11,"E",46,"ESE","ENE",22,19,38,24,1017.2,1013,0,1,24.3,31.2,"No","No"
"150267",2008-07-04,17.3,30.7,7,10.4,"E",44,"SE","E",22,13,55,16,1017.3,1013.6,2,6,21.3,29.8,"No","No"
"150268",2008-07-05,15.5,30.8,7,10.8,"ESE",46,"E","E",20,19,37,16,1016.3,1012.6,1,1,22.2,29.6,"No","No"
"150269",2008-07-06,16.2,31.9,7.2,10.7,"E",41,"ESE","SE",11,13,62,18,1015.8,1012.2,0,0,22.8,30.5,"No","No"
"150270",2008-07-07,17,32.7,5.2,7.8,"E",48,"SE","ESE",11,22,54,18,1016.7,1013.1,5,2,23.3,31.5,"No","No"
"150271",2008-07-08,19.6,30.8,9.2,10.6,"ESE",54,"SE","ESE",20,33,36,12,1018.2,1014.6,1,0,22.3,30.2,"No","No"
"150272",2008-07-09,17.3,29.2,9.6,10.6,"ESE",50,"SE","ESE",31,24,26,15,1019.1,1015.2,1,0,20.3,28.6,"No","No"
"150273",2008-07-10,17.1,30.3,9.2,11.1,"ESE",48,"SE","ESE",17,13,33,14,1018.3,1013.2,1,1,19.5,28.8,"No","No"
"150274",2008-07-11,17.7,30.6,8,10.9,"E",41,"ESE","NE",20,11,21,11,1015.7,1011,1,0,22.4,30,"No","No"
"150275",2008-07-12,14.7,30.9,7,11,"NE",35,"E","WSW",13,15,43,40,1014.5,1010.6,0,1,22.2,29,"No","No"
"150276",2008-07-13,18.7,31.3,4.8,10.4,"WNW",28,"SSE","NW",13,22,75,42,1015.8,1012.1,0,1,22.7,29.9,"No","No"
"150277",2008-07-14,18.8,31,4.8,8.9,"ENE",33,"ESE","NNW",7,20,69,56,1015.8,1012.1,5,6,25.3,28.7,"No","No"
"150278",2008-07-15,21.4,33.1,4,11,"ESE",41,"SE","NNW",9,20,64,45,1014.9,1010.5,1,1,26.5,30.2,"No","No"
"150279",2008-07-16,18.7,33.5,7.4,11,"ESE",41,"SSE","ESE",15,22,71,32,1014,1009.7,0,0,25.1,32.3,"No","No"
"150280",2008-07-17,17.2,33.4,6.6,11.3,"E",43,"SE","ENE",15,20,41,15,1013.7,1009.4,0,0,24.8,32.7,"No","No"
"150281",2008-07-18,17.6,32.3,7.6,11,"N",41,"ESE","NNE",13,24,44,41,1013.4,1010.1,0,3,25.5,31.3,"No","No"
